,댓글,작성자,작성시간
224,기억안나자나ㅋㅋㅋㅋ,DJ K,0:44
225,미르스틴 안녕 해주세요,미르스틴,0:44
226,대머리라,지죤킹왕짱엠퍼러zx,0:44
227,제목 뭐냐고,월드,0:45
228,상수형 내일 일정 어찌 되나요?,One Day More,0:45
229,술마시고 개돼서요,Benevine Signo,0:45
230,상수야,성규형님오른팔,0:45
231,안녕하세요,ESTP,0:45
232,와꾸가 범죄자라,응애나애기태경,0:45
233,난동 버려서,나라기,0:46
234,깝쳐서 맞았겠죠,Iklr1126,0:46
235,니가 병ㅅ이라,히히히헤헤,0:46
236,ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㄱㅋㅋㄱㄱㅋ,이끼,0:46
237,ㅋ,박동호,0:46
238,섹스,존잘,0:46
239,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌ,괄약근힘주기,0:46
240,주제좋네요,서영,0:46
241,전립선 떔에요,CrocoDoodle,0:47
242,아니 안들어올슨 없는 제목이잖아ㅋㅋㅋㅋ,내가 트럼프 안다 그랬잖아요!!!,0:47
243,인정을 해보자,정가온,0:47
244,상수형 ㅎㅇ,아이스베어,0:47
245,대머리라서,지죤킹왕짱엠퍼러zx,0:47
246,쳐맞을짓을하니까 맞지 씨발련아,페잌어,0:47
247,방송꺼라,김민성,0:47
248,귀여워용,ㅋㅋ,0:47
249,상수야 그게 자랑이냐?,Knjhgg,0:48
250,ㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋ,하성훈,0:48
251,어그로 끌고잇네 상수,정상수클립저장소,0:48
252,테이저건썰은 못참지ㅋㅋ,Kenneth Lee,0:48
253,니가 병신이니까 맞았지,김해를 버려버린 김찬호,0:48
254,난동피워서,똥개,0:48
255,정상수 노무현 사까시 썰좀,ABC,0:48
256,니가 ㅂㅅ이라서,스트콜,0:48
257,맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야맞을만 했으니까 맞은거지 상수야,도경님의 손톱때,0:48
258,수염 깎아주세요,Xz_잼민딜상,0:49
259,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,소고기,0:49
260,테이저건 맞아서 탈모온거임?,내이름은초코,0:49
261,술마심?,M.S BIKE,0:49
262,형님 너무 술취해서 그런거 같습니다,월월,0:49
263,상수요즘쫌컸다,김태헌,0:49
264,형 후원 어케해?,유.,0:49
265,방송꺼방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼 방송꺼,정현서,0:49
266,나잇값 못하이 맞았겠지 상수야 ㅋㅋㅋㅋㅋ,정인서,0:49
267,노무현,김말이,0:49
268,미르스틴 화이팅 해주십쇼,미르스틴,0:49
269,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ상수님 안녕하세요 제목이 너무 웃기네요,ViV ViV,0:49
270,잘못배워서,abc def,0:50
271,니가 술마시고 깽판치고 다니니깐 테이저건을 맞지,노용공,0:50
272,안녕하세여,ESTP,0:50
273,상수야,BLACK,0:50
274,면도하라고,NFT,0:51
275,방송끄라고,성규형님오른팔,0:51
276,상수형 하이,후다닥이,0:51
277,나대다가,갱갱,0:51
278,상수야 내랑 하자,비비누누,0:51
279,상수님 게이인가요?,정상수 게이밍,0:51
280,상수야 반말해라,"류생환의 블루랜드 (K-POP vocal trainer , producer)",0:51
281,테이져건썰 푸는겁니까,녹색지대,0:52
282,마 마스크 안 끼나,qpal,0:52
283,라이브 처음 옵니닼ㅋㅋㄱㅋㄱㅋㄱㅋ,이끼,0:52
284,ㅋㅋㅋㅋㅋㅋㅋ,초록매실,0:52
285,쥑이노 임마,괄약근힘주기,0:52
286,상수야 테이저건은 니가 하도 소리지르고 욕해서 쳐맞은 기다,죠랄원탑사,0:52
287,테이저건썰은 못참지ㅋㅋㅋ,Kenneth Lee,0:52
288,음..술먹고 개되서,정상수 팬계정,0:53
289,해명방송임 ?,ㅇㅇ,0:53
290,빡대가리 새끼야,김해를 버려버린 김찬호,0:53
291,난동을 부려서 그런게 아닐까오?,정상수콧털가위도둑,0:53
292,안궁금하다,그뤠이,0:53
293,술먹고 난동피워서,김와사비,0:53
294,니잘못이재ㅣ,윤준서광장질주하다엎어짐,0:53
295,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,피지,0:53
296,어제도 그렇고 왜이렇게 자기성찰 오지냐,크리스티아누호날두,0:53
297,잘못했으니깐 맞았갰지 ,ㅎㅎ,0:53
298,상수형욕하는새끼들 다 죽어라,김지우,0:54
299,zzzzzzzzz,Um’s touch,0:54
300,총각오징어김밥,어린아기✗,0:54
301,여자한테 질척거리다가 맞은거 아닙니까,싱지훈,0:54
302,상수야 방송꺼라 방송꺼라 방송꺼라 방송꺼라 방송꺼라,허수민,0:54
303,마 상수야 텐션 올려라,HY WORKOUT,0:54
