,댓글,작성자,작성시간
11677,최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다,ᄏᄏᄅ,33:56
11678,이태원 이슬람사원 지나다니지 마라 눈에띄면 혼난다,최승후,33:56
11679,북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:,RS_렉건,33:57
11680,베리나 화이팅!,성규형님오른팔,33:57
11681,형님께서 다음 작곡에 필요하시다고 펜타닐 준비해달라고 했잖습니까 빨리 임금 좀 해주십쇼,Водка,33:57
11682,상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요,몬캣,33:57
11683,이태원 이슬람사원 지나다니지 마라 눈에띄면 혼난다,최승후,33:57
11684,안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@,king geun,33:57
11685,상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면.,구구,33:57
11686,베리나 화이팅!,성규형님오른팔,33:58
11687,상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어지 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데,롤 와맆,33:58
11688,테이.저권.푸.푸쉬식.테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식///,c b,33:58
11689,이태원은 파스타죠,찌노블,33:58
11690,이태원 이슬람사원 지나다니지 마라 눈에띄면 혼난다,최승후,33:58
11691,라마지하말반,ZARRAS,33:58
11692,이태원 이슬람사원 지나다니지 마라 눈에띄면 혼난다,최승후,33:59
11693,승복아 새해복 많이 받으라고 해주세요 상수형 새해복 많이 받으세요,자 지왕,33:59
11694,상수야 방송 좀 성의있게 해라,𝙳𝚄𝙽𝙷𝙸𝙻𝙻,33:59
11695,이태원 이슬람사원 지나다니지 마라 눈에띄면 혼난다,최승후,33:59
11696,정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해주세요 정영호 화이팅해,우재혁,33:59
11697,부산대학교 앞 전통쑥밀면이란 가게 아십니까,bank Axis,33:59
11698,상수님 빵빠레 좋아하시나요,김성우,33:59
11699,신태일 사랑합니다 해주세요,대구1번,33:59
11700,뭐야 연일정씨야? 나도 연일정씨인데 씨ㅣ발,어쩌라고,33:59
11701,필로소퍼없어서 매일 방송키냐? 평상시에 켜라할때는 드럽게안켜면서 니가 필요할때만 방송키는건 뭔데,그뤠이,34:00
11702,상수야 소통해라 ,독산더타워 101동,34:00
11703,베리나 화이팅!베리나 화이팅!베리나 화이팅!베리나 화이팅!베리나 화이팅!베리나 화이팅!,성규형님오른팔,34:00
11704,나이트클럽이요????,jj k,34:01
11705,노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요,철이,34:01
11706,상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어지 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데,롤 와맆,34:01
11707,승복아 새해복 많이 받으라고 해주세요 상수형 새해복 많이 받으세요,자 지왕,34:01
11708,잘계십니까,엄언히,34:02
11709,백발백중 하는 명사수,해방이다,34:02
11710,잘생긴척 하지마라,dylantp,34:02
11711,이태원에서 주한미군이랑 싸워본 적 있나요?,전승호,34:02
11712,김재원 화이팅 해주세요,김종현,34:02
11713,상수님 안녕하세요 ,서전트Tv,34:03
11714,내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:내가 마리아 따먹어서 낳은게 예수인데:no_entry::no_entry:,으유유,34:03
11715,상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요,정록 오,34:03
11716,빅맥쏭 랩버전 해줘요,고라니고,34:03
11717,상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요,몬캣,34:03
11718,상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면.,구구,34:03
11719,필로소퍼없어서 매일 방송키냐? 평상시에 켜라할때는 드럽게안켜면서 니가 필요할때만 방송키는건 뭔데,그뤠이,34:03
11720,북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:,RS_렉건,34:04
11721,얌마,마고할미 쥴리,34:04
11722,상수야 소통해라,독산더타워 101동,34:04
11723,"신태일 사랑합니다 해주세요""",대구1번,34:04
11724,베리나 화이팅!ㄴ,성규형님오른팔,34:04
11725,이태원클라쓰 ㄷㄷ,MIN STUDY,34:04
11726,안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@,king geun,34:04
11727,최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다,ᄏᄏᄅ,34:05
11728,상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어지 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데,롤 와맆,34:05
11729,윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요,지원,34:05
11730,상수야 방송 좀 성의있게 해라,𝙳𝚄𝙽𝙷𝙸𝙻𝙻,34:05
11731,//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////규빈이 화이팅 해주십쇼///////////////////////////,피처빅,34:05
11732,치킨 추천해주세요 치킨 추천해주세요 치킨 추천해주세요 치킨 추천해주세요 치킨 추천해주세요 치킨 추천해주세요,갤킹 Galaxy King,34:05
11733,그러쿤요..,CHOI JH,34:05
11734,부산대학교 앞 전통쑥밀면이란 가게 아십니까,bank Axis,34:05
11735,여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요,김태현,34:05
11736,신태일이랑 싸우면 이기시나요,홍성준,34:06
11737,상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면.,구구,34:06
11738,상수님 잘생겼어요!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,이승빈,34:06
11739,이제 출세했으니 회도 좀 드세여,예의 바른 고양이,34:06
11740,상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 ,Tenor yoo,34:07
11741,"테이.저권.푸.푸쉬식.테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식테이.저권.푸.푸쉬식...,",c b,34:07
11742,형 뒤에 모야?,아으,34:07
11743,도배 작작,MIND,34:07
11744,상수 궁디,이름 없다,34:07
11745,북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:,RS_렉건,34:07
11746,경애하는 원수님의 은혜,장민재,34:07
11747,필로소퍼없어서 매일 방송키냐? 평상시에 켜라할때는 드럽게안켜면서 니가 필요할때만 방송키는건 뭔데,그뤠이,34:07
11748,공도건 까불지 말라 해주세요 공도건 까불지마라 해주세요 공도건 까불지마라 해주세요 공도건 까불지마라 공도건 까불지마라 해주세요 공도건 까불지마라 해주세요 공도건 까불지마라 공도건 까불지마라 해주세요 공도건 까불지마라 해주세요 공도건 까불지마라 공도건 까불지마라 해주세요 공도건 까불지마라 해주세요 공도건 까불지마라 공도건 까불지마라 해주세요 공도건 까불지마라,예빵이,34:07
11749,헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠헉헉헉헉헉헉헉헉헉헉헠,컽,34:07
11750,최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다최영우 개쉐이야 보고있는거 다안다,ᄏᄏᄅ,34:08
11751,//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////규빈이 화이팅 해주십쇼///////////////////////////,피처빅,34:08
11752,윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요,지원,34:08
11753,안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@,king geun,34:08
11754,노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요,철이,34:08
11755,포경해줘,굴복하라 나의힘에,34:09
11756,상수야 소통해라,독산더타워 101동,34:09
11757,상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요 상수님 마약 하시는거 해명하세요상수님 마약 하시는거 해명하세요,정록 오,34:09
11758,상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면.,구구,34:09
11759,상수야 맥도날드에서 빅맥송 부른적있냐,Ojh,34:09
11760,정상수님 교회 어디에요?,ZARRAS,34:10
11761,여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요,김태현,34:10
11762,부산대학교 앞 전통쑥밀면이란 가게 아십니까,bank Axis,34:10
11763,필로소퍼없어서 매일 방송키냐? 평상시에 켜라할때는 드럽게안켜면서 니가 필요할때만 방송키는건 뭔데,그뤠이,34:11
11764,//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////규빈이 화이팅 해주십쇼///////////////////////////,피처빅,34:11
11765,노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요,철이,34:11
11766,네,성규형님오른팔,34:11
11767,상수님 안녕하세요,서전트Tv,34:11
11768,상수형님 항상 방송으로 싸움잘하시는척 하시는데요 정말 싸움잘하시는거 맞으신가요? 말로만 싸울까?다이깰래? 말씀하시는데 신뢰가 안가서 말씀드립니다..,막꾸도나루토,34:11
11769,정상수 대가리 뉴트리아 빡빡이새기,잼민이 유튜브,34:11
11770,얌마,마고할미 쥴리,34:11
11771,상수형님 제가 오랜만에 와서 그런데 집이 엄청 깨끗하고 좋네요 이사하셨나요?,갱스터TV,34:11
11772,상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면.,구구,34:12
11773,형님 게이클럽 가봤습니까,뤼치먼드,34:12
11774,북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:북방코끼리바다표범:knocked_out_face:,RS_렉건,34:12
11775,박금비 화잍ㅇ,정영호,34:12
11776,윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요,지원,34:12
11777,상수형 벤좀하샘,최범수,34:12
11778,화이팅하세요 응원하겠습니다 :grinning_face::grinning_face_with_big_eyes::grinning_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,희범,34:12
11779,상수야 연기인 거 다 아니까 닥치고 이제 방송끄고 그만 자그라ㅡ,개죽이,34:12
11780,빅맥쏭,고라니고,34:13
11781,이태원 이슬람사원 지나다니지 마라 눈에띄면 혼난다,최승후,34:13
11782,상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요,몬캣,34:13
11783,상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 ,Tenor yoo,34:13
11784,상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어지 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데 상수형 어제 테이저건 맞으셨던데,롤 와맆,34:13
11785,카우디썰 부러줘요,김전마ö,34:13
11786,여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요여주중 김태현 화이팅해주세요,김태현,34:13
11787,//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////규빈이 화이팅 해주십쇼///////////////////////////,피처빅,34:14
11788,상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면.,구구,34:14
11789,안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@,king geun,34:14
11790,왜 연일 정씨인데요,어쩌라고,34:15
11791,윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요,지원,34:15
11792,노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요노무현 운지해주세요,철이,34:15
11793,형뒤에 뭐 있는데?,아으,34:15
11794,신태일 사랑합니다 해주세요신태일 사랑합니다 해주세요,대구1번,34:16
11795,상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요 상수님 발기부전이신가요,몬캣,34:16
11796,안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@,king geun,34:16
11797,//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////규빈이 화이팅 해주십쇼///////////////////////////,피처빅,34:17
11798,신태일 사랑합니다 해주세요,대구1번,34:17
11799,오빠 잘생겼어요,지윤,34:17
11800,상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면. 상수야 골목길 조심해라 뒤지기 싫으면.상수야 골목길 조심해라 뒤지기 싫으면.,구구,34:17
11801,필로소퍼없어서 매일 방송키냐? 평상시에 켜라할때는 드럽게안켜면서 니가 필요할때만 방송키는건 뭔데,그뤠이,34:17
11802,상수님 안녕하세요,서전트Tv,34:17
11803,상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 상수야 너 이태원 게이클럽 앞 또지나다니면 가만히 안둔다 조심해라 ,Tenor yoo,34:17
11804,안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@안 궁금하다 상수야 지금 사는곳 맛집이나 말해라@@,king geun,34:17
11805,금비화이팅,정영호,34:17
11806,상수야 맥도날드에서 빅맥송 부른적있냐,Ojh,34:18
11807,윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!ㅇ윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요!윤지원화이팅해주세요,지원,34:18
11808,도배하는 애들 강퇴해주세요,올니,34:18
